AAH,1010,001,Survey of Art & Arch History I,31%,44%,23%,2%,0%,0%,0%,1%,"Lauritis, Beth Ann",
AAH,2050,001,Art History and Theory I,88%,6%,0%,0%,0%,0%,0%,6%,"Lauritis, Beth Ann",
ACCT,2010,001,Financial Accounting Concepts,3%,25%,35%,15%,8%,0%,0%,15%,"Maiberger, Philip A",
ACCT,2010,002,Financial Accounting Concepts,18%,38%,28%,5%,3%,0%,0%,8%,"Maiberger, Philip A",
ACCT,2010,003,Financial Accounting Concepts,24%,44%,20%,4%,4%,0%,0%,4%,"Schleifer, Lydia Lan",
ACCT,2010,004,Financial Accounting Concepts,20%,33%,20%,10%,8%,0%,0%,10%,"Philo, Annieka C",
ACCT,2010,005,Financial Accounting Concepts,24%,43%,20%,6%,4%,0%,0%,2%,"Schleifer, Lydia Lan",
ACCT,2010,006,Financial Accounting Concepts,12%,52%,21%,3%,9%,0%,0%,3%,"Guffey, The Estate o",
ACCT,2010,007,Financial Accounting Concepts,26%,36%,16%,8%,4%,0%,0%,10%,"Philo, Annieka C",
ACCT,2010,009,Financial Accounting Concepts,32%,15%,23%,4%,11%,0%,0%,15%,"Schleifer, Lydia Lan",
ACCT,2010,010,Financial Accounting Concepts,17%,26%,26%,13%,11%,0%,0%,7%,"Schleifer, Lydia Lan",
ACCT,2010,011,Financial Accounting Concepts,13%,33%,29%,6%,10%,0%,0%,8%,"Philo, Annieka C",
ACCT,2010,012,Financial Accounting Concepts,7%,29%,29%,9%,16%,0%,0%,11%,"Philo, Annieka C",
ACCT,2010,013,Financial Accounting Concepts,9%,33%,24%,4%,4%,0%,0%,24%,"Prater, Mary Ann M",
ACCT,2010,014,Financial Accounting Concepts,19%,19%,14%,7%,12%,0%,0%,29%,"Prater, Mary Ann M",
ACCT,2010,015,Financial Accounting Concepts,15%,33%,11%,19%,15%,0%,0%,7%,"Tegen, Charles A",
ACCT,2010,100,Fin Accounting Concepts (HON),79%,14%,0%,0%,0%,0%,0%,7%,"Guffey, The Estate o",H
ACCT,2010,101,Fin Accounting Concepts (HON),82%,18%,0%,0%,0%,0%,0%,0%,"Guffey, The Estate o",H
ACCT,2010,400,Financial Accounting Concepts,23%,35%,16%,5%,10%,0%,0%,11%,"McMillan, Jeffrey J",
ACCT,2020,001,Managerial Accounting Concepts,15%,27%,33%,12%,6%,0%,0%,6%,"Anderson, Henry K.",
ACCT,2020,002,Managerial Accounting Concepts,19%,21%,17%,17%,10%,0%,0%,17%,"Anderson, Henry K.",
ACCT,2020,003,Managerial Accounting Concepts,44%,24%,20%,6%,3%,0%,0%,3%,"Martin, Sarah L",
ACCT,2020,004,Managerial Accounting Concepts,18%,32%,20%,8%,8%,0%,0%,14%,"Guffey, The Estate o",
ACCT,2020,005,Managerial Accounting Concepts,10%,45%,19%,6%,10%,0%,0%,10%,"Carver, Brian Todd",
ACCT,2020,007,Managerial Accounting Concepts,23%,42%,23%,7%,2%,0%,0%,2%,"Dalton, Derek W.",
ACCT,2020,008,Managerial Accounting Concepts,23%,34%,32%,7%,2%,0%,0%,2%,"Harp, Nancy Lee"
ACCT,2020,400,Managerial Accounting Concepts,12%,24%,25%,10%,6%,0%,0%,24%,"Anderson, Henry K."
ACCT,3030,001,Cost Accounting,35%,40%,17%,4%,4%,0%,0%,0%,"Radtke, Robin R"
ACCT,3030,002,Cost Accounting,40%,36%,14%,5%,2%,0%,0%,2%,"Radtke, Robin R"
ACCT,3030,003,Cost Accounting,44%,23%,17%,2%,6%,0%,0%,8%,"Garrett, Jace B"
ACCT,3030,004,Cost Accounting,31%,31%,12%,12%,0%,0%,0%,15%,"Garrett, Jace B"
ACCT,3110,001,Intermediate Financial Acct I,41%,32%,8%,8%,8%,0%,0%,3%,"Knause, Terry Daniel"
ACCT,3110,002,Intermediate Financial Acct I,41%,24%,15%,5%,2%,0%,0%,12%,"Knause, Terry Daniel"
ACCT,3110,003,Intermediate Financial Acct I,39%,24%,24%,6%,3%,0%,0%,3%,"Knause, Terry Daniel"
ACCT,3110,004,Intermediate Financial Acct I,31%,45%,21%,2%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3110,005,Intermediate Financial Acct I,26%,16%,21%,3%,26%,0%,0%,8%,"Anderson, Henry K."
ACCT,3110,400,Intermediate Financial Acct I,16%,24%,12%,4%,28%,0%,0%,16%,"Anderson, Henry K."
ACCT,3120,001,Intermediate Financial Acct II,6%,31%,29%,20%,6%,0%,0%,9%,"Carver, Brian Todd"
ACCT,3120,002,Intermediate Financial Acct II,21%,31%,23%,18%,5%,0%,0%,3%,"Carver, Brian Todd"
ACCT,3120,003,Intermediate Financial Acct II,8%,49%,26%,13%,3%,0%,0%,3%,"Vinson, Jeremy Micha"
ACCT,3120,004,Intermediate Financial Acct II,35%,28%,23%,10%,5%,0%,0%,0%,"Vinson, Jeremy Micha"
ACCT,3120,005,Intermediate Financial Acct II,13%,58%,24%,0%,0%,0%,0%,5%,"Vinson, Jeremy Micha"
ACCT,3130,001,Intermediate Fin Acct III,31%,47%,14%,0%,6%,0%,0%,3%,"Madray, J Russell"
ACCT,3130,002,Intermediate Fin Acct III,63%,21%,12%,2%,0%,0%,0%,2%,"Madray, J Russell"
ACCT,3130,003,Intermediate Fin Acct III,52%,33%,12%,0%,2%,0%,0%,0%,"Madray, J Russell"
ACCT,3130,004,Intermediate Fin Acct III,56%,34%,5%,0%,5%,0%,0%,0%,"Madray, J Russell"
ACCT,3220,002,Accounting Information Systems,23%,50%,19%,4%,4%,0%,0%,0%,"Harp, Nancy Lee"
ACCT,3220,003,Accounting Information Systems,12%,38%,24%,14%,5%,0%,0%,7%,"Harp, Nancy Lee"
ACCT,4040,001,Individual Taxation,74%,12%,3%,6%,6%,0%,0%,0%,"Martin, Sarah L"
ACCT,4040,002,Individual Taxation,82%,8%,5%,5%,0%,0%,0%,0%,"Martin, Sarah L"
ACCT,4040,003,Individual Taxation,21%,44%,26%,5%,0%,0%,0%,5%,"Dalton, Derek W."
ACCT,4080,001,Retire & Estate Plan,27%,50%,18%,0%,5%,0%,0%,0%,"Hine, John M"
ACCT,4100,001,Reporting and Mgmt Control Sys,31%,44%,21%,3%,3%,0%,0%,0%,"Widener, Sally Kathr"
ACCT,4100,002,Reporting and Mgmt Control Sys,8%,44%,32%,4%,4%,0%,0%,8%,"Widener, Sally Kathr"
ACCT,4150,001,Auditing,52%,28%,20%,0%,0%,0%,0%,0%,"Hollingsworth, Carl"
ACCT,4150,002,Auditing,6%,44%,38%,6%,0%,0%,0%,6%,"Hollingsworth, Carl"
ACCT,8510,001,Tax Research,53%,47%,0%,0%,0%,0%,0%,0%,"Dickens, Thomas L"
ACCT,8510,002,Tax Research,22%,68%,8%,0%,0%,0%,0%,3%,"Dickens, Thomas L"
ACCT,8510,003,Tax Research,31%,69%,0%,0%,0%,0%,0%,0%,"Dickens, Thomas L"
