AAH,1020,001,Survey of Art & Arch Hist II,49%,38%,11%,0%,1%,0%,0%,1%,"Lauritis, Beth Ann"
AAH,2060,001,Art History and Theory II,86%,14%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V"
AAH,2100,001,Intro to Art and Architecture,46%,27%,19%,0%,0%,0%,0%,8%,"Leblanc, Janet Bever"
AAH,2100,002,Intro to Art and Architecture,39%,32%,21%,7%,0%,0%,0%,0%,"Leblanc, Janet Bever"
AAH,2100,003,Intro to Art and Architecture,33%,22%,22%,7%,0%,0%,0%,15%,"Leblanc, Janet Bever"
AAH,2100,004,Intro to Art and Architecture,24%,38%,21%,3%,0%,0%,0%,14%,"Leblanc, Janet Bever"
ACCT,2010,001,Financial Accounting Concepts,14%,32%,26%,8%,8%,0%,0%,12%,"Pearse, Suzanne"
ACCT,2010,002,Financial Accounting Concepts,8%,25%,35%,15%,10%,0%,0%,8%,"Anderson, Henry K."
ACCT,2010,003,Financial Accounting Concepts,15%,24%,33%,11%,2%,0%,0%,15%,"Pearse, Suzanne"
ACCT,2010,004,Financial Accounting Concepts,20%,34%,18%,9%,5%,0%,0%,14%,"Guffey, The Estate o"
ACCT,2010,005,Financial Accounting Concepts,9%,26%,33%,2%,16%,0%,0%,14%,"Anderson, Henry K."
ACCT,2010,006,Financial Accounting Concepts,17%,26%,28%,9%,11%,0%,0%,11%,"Pearse, Suzanne"
ACCT,2010,007,Financial Accounting Concepts,23%,23%,32%,11%,4%,0%,0%,6%,"Pearse, Suzanne"
ACCT,2010,008,Financial Accounting Concepts,11%,24%,20%,4%,20%,0%,0%,20%,"Anderson, Henry K."
ACCT,2010,009,Financial Accounting Concepts,7%,34%,23%,14%,7%,0%,0%,16%,"Guffey, The Estate o"
ACCT,2010,010,Financial Accounting Concepts,13%,38%,18%,11%,4%,0%,0%,16%,"Guffey, The Estate o"
ACCT,2010,011,Financial Accounting Concepts,12%,27%,29%,11%,9%,0%,0%,12%,"McMillan, Jeffrey J"
ACCT,2020,001,Managerial Accounting Concepts,25%,40%,17%,10%,6%,0%,0%,2%,"Philo, Annieka C"
ACCT,2020,002,Managerial Accounting Concepts,29%,38%,25%,4%,2%,0%,0%,2%,"Philo, Annieka C"
ACCT,2020,003,Managerial Accounting Concepts,23%,29%,31%,6%,8%,0%,0%,2%,"Philo, Annieka C"
ACCT,2020,004,Managerial Accounting Concepts,31%,37%,14%,10%,8%,0%,0%,0%,"Philo, Annieka C"
ACCT,2020,005,Managerial Accounting Concepts,27%,29%,16%,2%,3%,0%,0%,23%,"Anderson, Henry K."
ACCT,2020,006,Managerial Accounting Concepts,18%,19%,19%,9%,5%,0%,0%,30%,"Anderson, Henry K."
ACCT,2040,001,ACCT 2040: 001,53%,29%,8%,3%,6%,0%,0%,1%,"McMillan, Jeffrey J"
ACCT,2040,002,ACCT 2040: 002,37%,36%,11%,4%,6%,0%,0%,7%,"McMillan, Jeffrey J"
ACCT,3030,001,Cost Accounting,26%,37%,20%,3%,6%,0%,0%,9%,"Dalton, Derek W."
ACCT,3030,002,Cost Accounting,17%,40%,31%,11%,0%,0%,0%,0%,"Dalton, Derek W."
ACCT,3030,003,Cost Accounting,18%,63%,5%,3%,8%,0%,0%,3%,"Radtke, Robin R"
ACCT,3030,004,Cost Accounting,31%,49%,10%,3%,8%,0%,0%,0%,"Radtke, Robin R"
ACCT,3110,001,Intermed Financial Acct I,22%,41%,30%,7%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3110,002,Intermed Financial Acct I,52%,36%,7%,2%,2%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3110,003,Intermed Financial Acct I,55%,24%,19%,0%,0%,0%,0%,2%,"Knause, Terry Daniel"
ACCT,3110,004,Intermed Financial Acct I,59%,24%,10%,0%,2%,0%,0%,5%,"Knause, Terry Daniel"
ACCT,3120,001,Intermed Financial Acct II,18%,54%,15%,10%,3%,0%,0%,0%,"Madray, J Russell"
ACCT,3120,002,Intermed Financial Acct II,30%,46%,19%,3%,0%,0%,0%,3%,"Madray, J Russell"
ACCT,3120,003,Intermed Financial Acct II,15%,21%,36%,6%,0%,0%,0%,21%,"Schleifer, Lydia Lan"
ACCT,3120,004,Intermed Financial Acct II,15%,36%,30%,0%,12%,0%,0%,6%,"Schleifer, Lydia Lan"
ACCT,3130,001,Intermed Financial Acct III,17%,46%,23%,11%,0%,0%,0%,3%,"Madray, J Russell"
ACCT,3130,002,Intermed Financial Acct III,51%,22%,22%,3%,3%,0%,0%,0%,"Madray, J Russell"
ACCT,3130,003,Intermed Financial Acct III,33%,19%,37%,7%,4%,0%,0%,0%,"Irving, James H"
ACCT,3130,004,Intermed Financial Acct III,17%,50%,33%,0%,0%,0%,0%,0%,"Irving, James H"
ACCT,3220,001,Accounting Information Systems,3%,47%,26%,12%,6%,0%,0%,6%,"Maiberger, Philip A"
ACCT,3220,002,Accounting Information Systems,16%,26%,35%,13%,6%,0%,0%,3%,"Maiberger, Philip A"
ACCT,3220,003,Accounting Information Systems,25%,33%,25%,8%,3%,0%,0%,6%,"Harp, Nancy Lee"
ACCT,4040,001,Individual Taxation,30%,45%,20%,5%,0%,0%,0%,0%,"Hine, John M"
ACCT,4040,002,Individual Taxation,32%,39%,24%,3%,0%,0%,0%,3%,"Hine, John M"
ACCT,4080,001,Retire & Estate Plan,29%,38%,33%,0%,0%,0%,0%,0%,"Hine, John M"
ACCT,4100,001,Budget and Exec Cont,46%,41%,7%,5%,0%,0%,0%,0%,"Kennedy, Frances A"
ACCT,4100,002,Budget and Exec Cont,64%,25%,11%,0%,0%,0%,0%,0%,"Kennedy, Frances A"
ACCT,4150,001,Auditing,9%,31%,41%,9%,6%,0%,0%,3%,"Pearse, Suzanne"
ACCT,4150,002,Auditing,15%,15%,35%,25%,10%,0%,0%,0%,"Hollingsworth, Carl"
ACCT,8520,001,ACCT 8520: 001,36%,61%,3%,0%,0%,0%,0%,0%,"Welton, Ralph E"
ACCT,8520,002,ACCT 8520: 002,28%,53%,17%,0%,3%,0%,0%,0%,"Welton, Ralph E"
ACCT,8550,001,ACCT 8550: 001,66%,29%,3%,0%,3%,0%,0%,0%,"Barnes, James D"
ACCT,8550,002,ACCT 8550: 002,68%,32%,0%,0%,0%,0%,0%,0%,"Barnes, James D"
ACCT,8710,001,ACCT 8710: 001,23%,71%,3%,0%,3%,0%,0%,0%,"Dalton, Derek W."
ACCT,8710,002,ACCT 8710: 002,31%,66%,3%,0%,0%,0%,0%,0%,"Dalton, Derek W."
AGED,3550,001,Team and Organiz Leadership,56%,38%,6%,0%,0%,0%,0%,0%,"Dobbins, Thomas R"
AGED,4150,001,AGED 4150: 001,67%,25%,8%,0%,0%,0%,0%,0%,"Layfield, Kevin D"
AGM,2050,001,AGM 2050: 001,15%,42%,32%,4%,0%,0%,0%,8%,"Massey, Hunter F"
AGM,2060,001,AGM 2060: 001,23%,55%,18%,5%,0%,0%,0%,0%,"Massey, Hunter F"
AGM,2210,001,AGM 2210: 001,29%,46%,20%,0%,6%,0%,0%,0%,"Privette, Charles V"
AGM,3030,001,AGM 3030: 001,21%,40%,33%,2%,2%,0%,0%,0%,"Han, Young J"
AGM,4020,001,AGM 4020: 001,6%,66%,26%,0%,3%,0%,0%,0%,"Privette, Charles V"
AGM,4100,001,AGM 4100: 001,38%,47%,13%,3%,0%,0%,0%,0%,"Massey, Hunter F"
AGM,4520,001,AGM 4520: 001,21%,56%,24%,0%,0%,0%,0%,0%,"Kirk, Kendall R"
AGM,4720,001,AGM 4720: 001,65%,24%,12%,0%,0%,0%,0%,0%,"Chastain, John P"
AL,3490,400,AL 3490: 400,56%,26%,19%,0%,0%,0%,0%,0%,"Cadorette, Deborah J"
AL,3490,401,AL 3490: 401,61%,32%,7%,0%,0%,0%,0%,0%,"Cadorette, Deborah J"
AL,3490,402,AL 3490: 402,73%,19%,8%,0%,0%,0%,0%,0%,"Cadorette, Deborah J"
AL,3490,403,AL 3490: 403,68%,25%,0%,0%,7%,0%,0%,0%,"Connor, Clyde Keith"
AL,3490,404,AL 3490: 404,54%,27%,8%,4%,4%,0%,0%,4%,"Connor, Clyde Keith"
AL,3490,405,AL 3490: 405,80%,12%,0%,4%,4%,0%,0%,0%,"Fry, Edmond H"
AL,3500,400,AL 3500: 400,19%,31%,23%,12%,8%,0%,0%,8%,"Godfrey, Michael G"
AL,3500,401,AL 3500: 401,14%,55%,5%,9%,9%,0%,0%,9%,"Godfrey, Michael G"
AL,3520,400,AL 3520: 400,22%,22%,35%,4%,0%,0%,0%,17%,"Godfrey, Michael G"
AL,3530,400,AL 3530: 400,12%,23%,27%,27%,8%,0%,0%,4%,"Colbert, Isaac Sean"
AL,3530,401,AL 3530: 401,13%,17%,39%,22%,4%,0%,0%,4%,"Colbert, Isaac Sean"
AL,3600,400,AL 3600: 400,46%,43%,7%,0%,0%,0%,0%,4%,"Connor, Clyde Keith"
AL,3610,400,AL 3610: 400,92%,8%,0%,0%,0%,0%,0%,0%,"Oates, Henry C."
AL,3610,401,AL 3610: 401,84%,12%,4%,0%,0%,0%,0%,0%,"Oates, Henry C."
AL,3610,402,AL 3610: 402,88%,4%,4%,4%,0%,0%,0%,0%,"Oates, Henry C."
AL,3620,400,AL 3620: 400,8%,44%,20%,16%,4%,0%,0%,8%,"Carter, Natalie Anne"
AL,3620,401,AL 3620: 401,23%,23%,37%,9%,3%,0%,0%,6%,"Carter, Natalie Anne"
AL,3710,400,AL 3710: 400,60%,25%,5%,0%,5%,0%,0%,5%,"Hickey, Justin M"
AL,3720,400,AL 3720: 400,61%,13%,4%,4%,13%,0%,0%,4%,"Fry, Edmond H"
AL,3740,400,AL 3740: 400,46%,21%,29%,0%,0%,0%,0%,4%,"Cadorette, Deborah J"
AL,3750,400,AL 3750: 400,74%,11%,5%,0%,5%,0%,0%,5%,"Cadorette, Deborah J"
AL,3760,400,AL 3760: 400,38%,14%,19%,10%,19%,0%,0%,0%,"Fry, Edmond H"
AL,3760,401,AL 3760: 401,63%,11%,5%,11%,5%,0%,0%,5%,"Fry, Edmond H"
ANTH,2010,001,Intro Anthropology,6%,21%,41%,11%,12%,0%,0%,9%,"Coggeshall, John M"
ANTH,2010,002,Intro Anthropology,24%,32%,24%,11%,5%,0%,0%,5%,"Vogel, Melissa A"
ANTH,2010,003,Intro Anthropology,36%,32%,19%,7%,3%,0%,0%,3%,"Rapaport, Lisa G"
ANTH,3200,001,North American Indian Cultures,18%,35%,24%,0%,0%,0%,0%,24%,"Coggeshall, John M"
ANTH,3310,001,Archaeology,29%,50%,4%,4%,4%,0%,0%,8%,"Vogel, Melissa A"
ANTH,3510,001,Biological Anthropology,62%,31%,0%,8%,0%,0%,0%,0%,"Weisensee, Katherine"
ANTH,4510,001,Biol Variation in Human Pop,33%,33%,25%,0%,0%,0%,0%,8%,"Weisensee, Katherine"
APEC,2020,001,Agric Economics,38%,28%,23%,0%,7%,0%,0%,5%,"Smathers, Webb M"
APEC,2050,001,Agric and Society,60%,38%,0%,0%,0%,0%,0%,2%,"Hughes, David Wheele"
APEC,3080,001,APEC 3080: 001,33%,11%,30%,19%,4%,0%,0%,4%,"Vassalos, Michael"
APEC,3570,001,Nat Resource Econ,10%,36%,51%,0%,0%,0%,0%,3%,"Espey, Molly"
APEC,4120,001,Reg Economic Devel,60%,30%,0%,0%,0%,0%,0%,10%,"Hughes, David Wheele"
APEC,4520,001,Agric Policy,25%,55%,20%,0%,0%,0%,0%,0%,"Vassalos, Michael"
APEC,4750,001,Wildlife Economics,57%,10%,33%,0%,0%,0%,0%,0%,"Smathers, Webb M"
ARAB,1010,001,ARAB 1010: 001,64%,14%,0%,7%,0%,0%,0%,14%,"Abou-Samra, Sulafa"
ARAB,1020,001,ARAB 1020: 001,55%,9%,9%,9%,0%,0%,0%,18%,"Abou-Samra, Sulafa"
ARCH,1510,003,ARCH 1510: 003,38%,33%,17%,4%,0%,0%,0%,8%,"Hambright-Belue, Sal"
ARCH,1510,004,ARCH 1510: 004,23%,64%,9%,0%,0%,0%,0%,5%,"Hambright-Belue, Sal"
ARCH,2520,001,ARCH 2520: 001,18%,71%,12%,0%,0%,0%,0%,0%,"Bruhns, Robert A."
ARCH,2520,003,ARCH 2520: 003,33%,33%,17%,0%,8%,0%,0%,8%,"Mills, Criss B."
ARCH,2520,004,ARCH 2520: 004,17%,75%,8%,0%,0%,0%,0%,0%,"Mendez, Clarissa A"
ARCH,2700,001,ARCH 2700: 001,71%,19%,5%,0%,0%,0%,0%,5%,"Hogan, Robert John"
ARCH,2700,002,ARCH 2700: 002,92%,4%,4%,0%,0%,0%,0%,0%,"Hogan, Robert John"
ARCH,2710,001,ARCH 2710: 001,76%,24%,0%,0%,0%,0%,0%,0%,"Kleiss, Michael Carl"
ARCH,4050,001,ARCH 4050: 001,36%,50%,7%,0%,7%,0%,0%,0%,"Bruhns, Robert A."
ARCH,4520,002,ARCH 4520: 002,60%,30%,10%,0%,0%,0%,0%,0%,"Craig, Lynn G"
ARCH,4520,003,ARCH 4520: 003,57%,36%,0%,7%,0%,0%,0%,0%,"Wilkerson, Julie Poe"
ARCH,4990,001,Freehand Drawing,73%,27%,0%,0%,0%,0%,0%,0%,"Craig, Lynn G"
ARCH,6050,001,ARCH 6050: 001,67%,33%,0%,0%,0%,0%,0%,0%,"Bruhns, Robert A."
ARCH,8110,001,ARCH 8110: 001,53%,42%,0%,0%,0%,0%,0%,5%,"Hecker, Douglas A."
ARCH,8120,001,ARCH 8120: 001,21%,64%,14%,0%,0%,0%,0%,0%,"Lee, David M"
ARCH,8200,001,Bldg Design & Constr,40%,60%,0%,0%,0%,0%,0%,0%,"Bausman, Dennis C"
ARCH,8420,001,ARCH 8420: 001,80%,10%,0%,0%,0%,0%,0%,10%,"Montilla Navarro, Ar"
ARCH,8420,002,ARCH 8420: 002,80%,20%,0%,0%,0%,0%,0%,0%,"Satoh, Junichi"
ARCH,8520,002,ARCH 8520: 002,63%,38%,0%,0%,0%,0%,0%,0%,"Green, Keith E."
ARCH,8520,005,ARCH 8520: 005,40%,60%,0%,0%,0%,0%,0%,0%,"Ault, Nicholas W"
ARCH,8610,001,ARCH 8610: 001,57%,35%,4%,0%,0%,0%,0%,4%,"Ersoy, Ufuk"
ARCH,8710,001,ARCH 8710: 001,54%,42%,0%,0%,0%,0%,0%,4%,"Albright, Dustin Gra"
ARCH,8730,001,ARCH 8730: 001,69%,31%,0%,0%,0%,0%,0%,0%,"Blouin, Vincent Yves"
ARCH,8820,001,ARCH 8820: 001,68%,32%,0%,0%,0%,0%,0%,0%,"Silance, Robert T"
ARCH,8900,001,Directed Studies,40%,60%,0%,0%,0%,0%,0%,0%,"Battisto, Dina G."
ARCH,8920,001,ARCH 8920: 001,57%,29%,14%,0%,0%,0%,0%,0%,"Allison, David J"
ARCH,8920,002,ARCH 8920: 002,24%,70%,6%,0%,0%,0%,0%,0%,"Heine, Ulrike Ann-So"
ARCH,8960,001,A+H Studio: Tectonic,25%,75%,0%,0%,0%,0%,0%,0%,"Allison, David J"
ART,1030,001,ART 1030: 001,33%,60%,7%,0%,0%,0%,0%,0%,"House, Lynette"
ART,1060,001,ART 1060: 001,68%,18%,5%,0%,9%,0%,0%,0%,"Drew, Carly D"
ART,1510,001,ART 1510: 001,80%,20%,0%,0%,0%,0%,0%,0%,"Lichliter, Adrienne"
ART,2050,001,ART 2050: 001,65%,25%,10%,0%,0%,0%,0%,0%,"Murray, Joel Reese"
ART,2070,001,ART 2070: 001,77%,15%,0%,0%,0%,0%,0%,8%,"McDonald, Todd A"
ART,2170,001,ART 2170: 001,80%,10%,10%,0%,0%,0%,0%,0%,"Kawar, Nina Jeanette"
AS,1100,001,AS 1100: 001,81%,19%,0%,0%,0%,0%,0%,0%,"Wiggins, Stacey Dean"
AS,4100,001,Nat Sec Policy II,83%,8%,0%,0%,0%,0%,0%,8%,"Jordan, Steven Price"
ASL,1010,001,ASL 1010: 001,75%,8%,17%,0%,0%,0%,0%,0%,"May, Joseph Paul"
ASL,1010,002,ASL 1010: 002,70%,30%,0%,0%,0%,0%,0%,0%,"May, Joseph Paul"
ASL,1020,001,ASL 1020: 001,79%,21%,0%,0%,0%,0%,0%,0%,"Misener Dunn, Kim Ma"
ASL,1020,002,ASL 1020: 002,87%,13%,0%,0%,0%,0%,0%,0%,"Misener Dunn, Kim Ma"
